RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05
13257,Perry,Georgia,2125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98100,104900,108600,109900,105400,1.07E+05,114800,1.22E+05,130600,131900,1.33E+05,126500,117700,116300,110800,116100,115600,120600,106200,107300,1.08E+05,123300,120200,126200,131600,134600,130200,132400,139500,142700,156500,148300,139400,121100,121200,139200,141200,148200,134600,134500,141400,138100,167300,156600,166900,134500,
12876,Mountlake Terrace,Washington,2126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203300,188200,204500,208100,214200,220300,213900,203100,179600,174600,162500,166700,172400,185700,190300,180300,1.70E+05,150300,151500,162900,177500,182300,186700,200600,211700,2.11E+05,208900,202300,211300,217700,231200,230700,218400,220400,229900,247100,247600,240700,239700,243800,244300,259900,263400,2.84E+05,272400,272400,258900,2.72E+05,275700,276800,263600,259100,263400,266400,268200,266400,270100,274900,272700,274700,2.78E+05,290100,300200,328200,328500,333100,309100,316300,310900,314700,319400,323400,3.29E+05,331600,347700,3.71E+05,370700,356900,344700,349700,363900,368800,3.72E+05,361800,3.55E+05,3.66E+05,3.84E+05,407100,422200,438600,448500,457500,450600,434500,423900,423700,406100,409800,409300,438600,409900,4.21E+05,434900,457800,446900
13091,Ojai,California,2127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,521600,538900,546900,5.35E+05,542600,518100,513800,520400,5.55E+05,565100,559600,607800,652100,627400,609800,598800,598800,561500,543400,573200,583200,593200,610200,605600,583500,558800,641800,643700,651200,601300,624800,6.18E+05,600600,580700,612800,626200,652400,654500,646700,666300,667200,706200,715700,7.10E+05,666200,634100,629800,647700,653900,690100,670100,6.81E+05,671800,691800,697400,703200,727400,771300,719200,701400,674200,739800,725200,709100,653500,646400,639900,709900,790400,804200,786500,695700,677700,684200
20894,Universal City,Texas,2128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144500,143400,143700,144200,148200,150300,150900,142700,146400,128700,133600,131900,158900,158800,1.63E+05,167800,169100,170700,178900,181700,181700,170900,166700,168100,162300,171400,166300,1.70E+05,165600,164900,157100,158100,155800,156200,158700,163200,169500,169300,168100,163200,165500,1.72E+05,184900,185100,178700,172200,174400,178400,172400,168800,175900,180900,180700,171700,174100,181300,185800,186100,179500,179100,174200,180400,189800,199100,2.03E+05,184800,185800,183200,185100,1.78E+05,167300,190400,196700
39089,Hyattsville,Maryland,2129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261600,250900,266700,268100,274500,285800,285300,293300,2.75E+05,269600,259100,284500,302300,339500,325500,331800,291600,303800,291200,304500,325700,341100,356500,338600,340500,329800,329200,310300,305100,300700,321700,316100,308300,289100,290600,306900,317700,321300,310100,310700,337900,346100,356600,350600,368700,375600,385100,383300,363300,360600,336300,342400,298500,316900,338700,385200,395700,
34057,South Milwaukee,Wisconsin,2130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136300,1.40E+05,136400,129500,120300,117900,121800,121100,121300,115300,108500,106600,106500,115200,109800,106200,107200,111600,117700,109600,114800,119800,130900,126600,1.19E+05,129600,1.31E+05,129900,120900,123600,127800,121900,122200,118300,121200,120700,132300,1.35E+05,145800,141300,141600,134300,128800,133700,130600,138200,135800,140400,136200,138100,139600,149300,149500,151400,143800,148400,146200,150100,145400,150900,154700,155200,152300,1.54E+05,1.55E+05,153200,148700,152600,1.50E+05,1.50E+05,150400,153500,1.62E+05,164900,174200,172800,161200,1.48E+05,147100
6769,Rincon,Georgia,2131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144800,147800,152200,154900,1.50E+05,129200,123200,126800,129400,136200,128400,133500,124200,118900,119500,121600,128900,118100,113300,115900,118100,125800,129300,134700,136300,133600,139200,141400,147500,143500,1.47E+05,148300,146600,137300,132600,132700,127700,135700,149700,152800,145500,135800,140600,140600,140400,140800,147700,1.47E+05,154300,151400,165600,165200,175500,171900,173400,160400,159400,165100,157800,154200,142600,160900,154300,153900,146300,144900,139100,146300,154100,156700,155300,1.68E+05,1.73E+05,175300,159700,1.63E+05,157800,173200,1.72E+05,176700,171900,176500,173500,174100,178500,176100,172400,166500,168300,167800,168200,175800,190400,193300,189100,177100,175500,1.74E+05,170200,170100,
55748,Lansdale,Pennsylvania,2132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190800,195500,2.08E+05,207600,2.01E+05,189900,198800,199400,203600,200100,204200,211300,2.08E+05,209200,212200,1.98E+05,199600,2.00E+05,209900,204900,204400,205100,217100,217900,220800,2.00E+05,189300,207800,211900,214100,188900,192800,2.13E+05,2.15E+05,209100,173700,172600,171900,189100,1.98E+05,211100,214100,217300,216400,232100,232100,232500,223500,231400,240200,242600,2.37E+05,221600,223600,206900,216900,210600,231700,2.42E+05,244300,236200,2.14E+05,212700,229600,236500,237100,228200,228500,240700,236400,2.50E+05,231700,
35591,Lathrop,California,2133,,,,,,,,,,,,,,,,,,,175300,174300,1.74E+05,1.69E+05,173200,1.91E+05,200300,195400,181400,172200,176300,168600,177900,178900,194900,187700,189100,181500,178900,168500,159500,162200,165600,168500,170600,161700,159500,151500,161200,178500,195800,193900,183100,172800,172300,170400,173400,184700,198300,1.99E+05,1.93E+05,2.05E+05,2.02E+05,2.10E+05,207400,220700,230100,236300,250300,259100,2.57E+05,267400,276100,290400,290500,294500,2.97E+05,292900,281700,281100,286100,289600,285300,282500,282200,279300,279900,286200,292400,301400,309300,309500,308600,302200,314200,318600,321700,319400,326900,337700,3.39E+05,333400,332600,339300,338900,347900,352600,351300,352900,356500,372700,371200,367700,374900,3.81E+05,384600,378400,381300,388700,391100,3.96E+05,398200,3.96E+05,384300,383400,405800,417400,4.26E+05,418500,433900,426500,4.27E+05,414800,449400,460200,462100,437500
13043,Northfield,Ohio,2134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155900,145600,120800,129800,128400,136500,148600,158400,159600,163700,153700,162200,154300,163700,1.69E+05,168600,170100,154400,147800,142900,150500,148900,147600,147300,155700,1.62E+05,1.56E+05,155300,154800,155400,1.59E+05,154500,156500,160800,171200,163200,157700,153100,151400,140900,1.40E+05,1.50E+05,156600,157700,159100,160200,160900,1.61E+05,162700,144300,153800,160100,185400,190200,185400,184600,1.72E+05,170600,1.79E+05,202200,203300,181300,157200,159900,1.66E+05,168800,167500,170700,170800,176900,1.80E+05,183400,171400,163400,1.54E+05,158300
